"external_id","url"
"CTMS-31-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/262"
"CTMS-32-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/263"
"CTMS-32-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/264"
"CTMS-32-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/265"
"CTMS-32-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/266"
"CTMS-33-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/267"
"CTMS-33-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/268"
"CTMS-33-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/269"
"CTMS-33-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/270"
"CTMS-34-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/271"
"CTMS-34-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/272"
"CTMS-34-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/273"
"CTMS-34-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/274"
"CTMS-35-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/275"
"CTMS-35-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/276"
"CTMS-35-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/277"
"CTMS-36-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/278"
"CTMS-36-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/279"
"CTMS-36-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/280"
"CTMS-36-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/281"
"CTMS-37-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/282"
"CTMS-37-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/283"
"CTMS-37-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/284"
"CTMS-37-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/285"
"CTMS-38-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/286"
"CTMS-38-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/287"
"CTMS-38-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/288"
"CTMS-38-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/289"
"CTMS-39-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/290"
"CTMS-39-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/291"
"CTMS-39-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/292"
"CTMS-40-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/293"
"CTMS-40-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/294"
"CTMS-40-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/295"
"CTMS-40-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/296"
"CTMS-41-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/297"
"CTMS-41-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/298"
"CTMS-41-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/299"
"CTMS-41-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/300"
"CTMS-42-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/301"
"CTMS-42-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/302"
"CTMS-42-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/303"
"CTMS-42-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/304"
"CTMS-43-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/305"
"CTMS-43-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/306"
"CTMS-43-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/307"
"CTMS-43-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/308"
"CTMS-44-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/309"
"CTMS-44-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/310"
"CTMS-44-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/311"
"CTMS-45-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/312"
"CTMS-45-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/313"
"CTMS-45-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/314"
"CTMS-45-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/315"
"CTMS-46-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/316"
"CTMS-46-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/317"
"CTMS-46-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/318"
"CTMS-47-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/319"
"CTMS-47-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/320"
"CTMS-47-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/321"
"CTMS-48-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/322"
"CTMS-48-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/323"
"CTMS-48-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/324"
"CTMS-49-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/325"
"CTMS-49-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/326"
"CTMS-49-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/327"
"CTMS-49-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/328"
"CTMS-50-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/329"
"CTMS-50-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/330"
"CTMS-50-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/331"
"CTMS-51-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/332"
"CTMS-51-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/333"
"CTMS-51-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/334"
"CTMS-52-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/335"
"CTMS-52-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/336"
"CTMS-52-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/337"
"CTMS-52-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/338"
"CTMS-53-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/339"
"CTMS-53-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/340"
"CTMS-53-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/341"
"CTMS-54-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/342"
"CTMS-54-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/343"
"CTMS-54-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/344"
"CTMS-54-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/345"
"CTMS-55-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/346"
"CTMS-55-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/347"
"CTMS-55-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/348"
"CTMS-55-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/349"
"CTMS-56-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/350"
"CTMS-56-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/351"
"CTMS-56-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/352"
"CTMS-57-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/353"
"CTMS-57-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/354"
"CTMS-57-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/355"
"CTMS-57-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/356"
"CTMS-58-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/357"
"CTMS-58-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/358"
"CTMS-58-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/359"
"CTMS-58-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/360"
"CTMS-59-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/361"
"CTMS-59-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/362"
"CTMS-59-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/363"
"CTMS-59-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/364"
"CTMS-60-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/365"
"CTMS-60-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/366"
"CTMS-60-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/367"
"CTMS-60-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/368"
"CTMS-61-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/369"
"CTMS-61-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/370"
"CTMS-61-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/371"
"CTMS-61-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/372"
"CTMS-62-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/373"
"CTMS-62-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/374"
"CTMS-62-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/375"
"CTMS-62-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/376"
"CTMS-63-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/377"
"CTMS-63-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/378"
"CTMS-63-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/379"
"CTMS-63-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/380"
"CTMS-64-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/381"
"CTMS-64-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/382"
"CTMS-64-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/383"
"CTMS-65-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/384"
"CTMS-65-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/385"
"CTMS-65-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/386"
"CTMS-65-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/387"
"CTMS-66-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/388"
"CTMS-66-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/389"
"CTMS-66-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/390"
"CTMS-67-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/391"
"CTMS-67-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/392"
"CTMS-67-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/393"
"CTMS-67-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/394"
"CTMS-MVP-67A-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/395"
"CTMS-MVP-67A-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/396"
"CTMS-MVP-67A-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/397"
"CTMS-MVP-67A-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/398"
"CTMS-68-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/399"
"CTMS-68-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/400"
"CTMS-68-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/401"
"CTMS-68-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/402"
"CTMS-69-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/403"
"CTMS-69-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/404"
"CTMS-69-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/405"
"CTMS-70-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/406"
"CTMS-70-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/407"
"CTMS-70-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/408"
"CTMS-70-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/409"
"CTMS-71-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/410"
"CTMS-71-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/411"
"CTMS-71-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/412"
"CTMS-71-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/413"
"CTMS-72-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/414"
"CTMS-72-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/415"
"CTMS-73-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/416"
"CTMS-73-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/417"
"CTMS-73-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/418"
"CTMS-73-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/419"
"CTMS-74-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/420"
"CTMS-74-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/421"
"CTMS-74-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/422"
"CTMS-75-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/423"
"CTMS-75-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/424"
"CTMS-75-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/425"
"CTMS-75-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/426"
"CTMS-76-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/427"
"CTMS-76-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/428"
"CTMS-76-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/429"
"CTMS-77-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/430"
"CTMS-77-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/431"
"CTMS-77-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/432"
"CTMS-78-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/433"
"CTMS-78-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/434"
"CTMS-78-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/435"
"CTMS-79-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/436"
"CTMS-79-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/437"
"CTMS-79-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/438"
"CTMS-80-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/439"
"CTMS-80-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/440"
"CTMS-80-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/441"
"CTMS-81-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/442"
"CTMS-81-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/443"
"CTMS-81-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/444"
"CTMS-82-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/445"
"CTMS-82-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/446"
"CTMS-82-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/447"
"CTMS-83-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/448"
"CTMS-83-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/449"
"CTMS-83-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/450"
"CTMS-84-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/451"
"CTMS-84-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/452"
"CTMS-84-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/453"
"CTMS-84-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/454"
"CTMS-85-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/455"
"CTMS-85-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/456"
"CTMS-85-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/457"
"CTMS-86-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/458"
"CTMS-86-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/459"
"CTMS-86-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/460"
"CTMS-86-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/461"
"CTMS-87-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/462"
"CTMS-87-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/463"
"CTMS-87-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/464"
"CTMS-88-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/465"
"CTMS-88-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/466"
"CTMS-88-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/467"
"CTMS-88-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/468"
"CTMS-89-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/469"
"CTMS-89-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/470"
"CTMS-89-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/471"
"CTMS-89-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/472"
"CTMS-90-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/473"
"CTMS-90-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/474"
"CTMS-90-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/475"
"CTMS-91-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/476"
"CTMS-91-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/477"
"CTMS-91-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/478"
"CTMS-92-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/479"
"CTMS-92-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/480"
"CTMS-92-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/481"
"CTMS-93-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/482"
"CTMS-93-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/483"
"CTMS-93-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/484"
"CTMS-93-T04","https://github.com/SEM9-CAPSTONE/CTMS/issues/485"
"CTMS-94-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/486"
"CTMS-94-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/487"
"CTMS-94-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/488"
"CTMS-95-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/489"
"CTMS-95-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/490"
"CTMS-95-T03","https://github.com/SEM9-CAPSTONE/CTMS/issues/491"
"CTMS-96-T01","https://github.com/SEM9-CAPSTONE/CTMS/issues/492"
"CTMS-96-T02","https://github.com/SEM9-CAPSTONE/CTMS/issues/493"
